CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;B015;B016;B017;B018;B019;B031_01;B032_01;B033_01;B034_01;B035_01;B038_01;B039_01;B040_01;B041_01;B042_01;B043_01;B043_02;B043_03;B043_04;B043_05;MI02_01;MI02_02;MI02_03;MI02_04;MI02_05;MI02_06;MI02_07;MI02_08;MI02_09;MI02_10;MF02_01;MF02_02;MF02_03;MF02_04;MF02_05;MF02_06;MF02_07;MF02_08;MF02_09;MF02_10;MF02_11;MF02_12;MF02_13;MF02_14;MF02_15;MF02_16;MF03_01;MF03_02;MF03_03;MF03_04;MF03_05;MF03_06;MF03_07;MF03_08;MF03_09;MF03_10;MF03_11;MF03_12;MF03_13;MF03_14;MF03_15;MF03_16;ZU02_01;ZU03_01;ZU04_01;ZU05_01;ZU06;ZU07;ZU08_01;GN01_01;GN02_01;GN03_01;GN04_01;GN05_01;VA01_01;DE01_01;DE02;DE03;DE04;DE05;FINISHED;LASTPAGE;MAXPAGE;MISSING;MISSREL;DEG_MISS;DEG_TIME;DEGRADE
161;88UKE3;;base;interview;29.01.15 08:38;7;4;4;3;3;98;56;21;34;29;2;5;7;6;8;1;;8;;9;6;6;2;1;5;2;1;3;6;6;5;5;3;4;6;1;6;6;5;3;6;6;6;5;4;3;5;6;4;4;4;6;6;6;5;1;2;6;6;6;1;3;1;100;54;5;3;2;;selbst ist der Mann;in Geldsachen unsicher;Spieler;wankelmütig;verantwotungsscheu;verdeckt;73;2;2;-9;1;1;21;21;5;1;7;0;7
163;IPFZA3;;base;interview;29.01.15 08:40;7;2;2;2;2;69;85;7;1;71;0;0;2;6;0;;;;;;4;6;1;1;5;2;1;5;5;5;5;5;1;2;4;1;6;5;5;4;5;6;6;4;4;1;4;6;1;2;2;6;5;6;4;1;1;1;3;2;3;1;1;100;88;2;3;4;;normal;altruistisch;Spieler;Täuscher;Umentscheider;offen;35;2;1;5;1;1;21;21;8;1;8;20;28
164;I2C5UX;;base;interview;29.01.15 08:41;7;5;3;2;2;51;71;27;7;42;6;4;5;6;5;;;;;;6;5;2;1;6;2;6;6;6;4;5;5;2;3;2;2;6;4;5;3;2;6;6;3;3;1;4;5;6;4;2;5;6;5;3;1;1;6;5;4;4;1;1;10;53;2;3;2;;eingennützig;spendierfreudig;entscheidungsfaul;feig;unsicher;verdeckt;37;2;2;-9;1;1;21;21;9;2;10;4;14
165;MVGGFP;;base;interview;29.01.15 08:43;7;3;5;2;1;101;1;51;24;1;10;10;0;10;10;;;;;;7;5;1;1;3;4;2;1;1;7;4;3;1;3;2;1;6;4;4;1;1;6;4;4;2;1;4;6;2;4;1;4;1;6;1;2;1;4;1;4;3;1;1;20;-1;4;3;5;;rational;dumm;fair;unentschlossen;unentschlossen;offen;26;2;1;1;1;1;21;21;9;3;14;32;45
166;HNPP5G;;base;interview;29.01.15 08:43;7;3;4;2;2;61;61;71;51;51;4;1;0;2;1;3;;;;;7;7;2;1;6;4;1;6;5;6;5;3;3;3;2;1;6;4;6;3;2;6;5;5;3;1;5;5;5;4;1;5;6;4;5;2;1;2;3;3;4;1;1;100;41;6;3;7;;Gierig;Altruistisch;Schicksalsergeben;Entscheidungsscheu dom;Entscheidungsschei dev;verdeckt;28;1;1;3;1;1;21;21;6;1;6;21;28
167;J6D7FJ;;base;interview;29.01.15 08:45;6;3;4;2;1;25;37;85;22;94;10;4;1;8;0;;;;;;7;5;1;1;3;2;2;1;5;7;4;2;1;2;5;2;5;6;6;3;2;5;6;1;3;1;5;6;1;2;3;6;5;6;2;1;1;6;6;3;2;1;1;50;100;7;3;4;;Entscheider;Entscheider_direkt;Fair;quasi-Entscheider;Altruisten;offen;29;2;1;3;1;1;21;21;8;1;8;14;21
168;YV3BP2;;base;interview;29.01.15 08:46;7;4;3;2;2;88;10;49;73;15;2;8;5;3;7;;;;;;7;6;2;1;5;4;5;5;5;5;5;5;4;2;4;3;5;5;5;4;5;5;4;5;5;2;4;5;6;3;5;5;5;5;4;1;3;6;5;5;2;2;-9;80;85;4;2;2;;Entscheider ;Zögerer;Zauderer;Absicherer;Pessimist ;verdeckt;62;2;2;-9;1;1;21;21;10;3;16;17;33
169;O77SQE;;base;interview;29.01.15 08:49;7;2;2;2;2;51;71;81;31;41;0;0;0;0;0;;;;;;6;5;3;1;4;4;2;2;3;5;5;6;1;2;5;1;5;6;4;3;4;6;5;5;4;3;4;5;4;4;1;6;4;4;4;2;1;5;4;4;3;2;-9;58;60;6;3;2;Grüße an Johanna Jauernig!;Rationalisten;Sozialen;Fatalisten;Opportunisten;Unentschlossenen;verdeckt;32;2;2;-9;1;1;21;21;9;3;14;36;51
171;L78OX5;;base;interview;29.01.15 08:51;7;3;4;2;2;21;98;51;38;54;10;0;3;8;4;;;;;;7;7;3;1;5;6;1;6;6;7;6;5;2;2;4;1;6;6;4;4;6;6;6;4;4;6;6;6;3;4;4;6;5;6;3;1;2;6;6;5;2;2;7;10;49;5;3;4;;Egoist;Menschenfreund;Mimose;ängstlicher Egoist;Angsthase;verdeckt;51;1;2;-9;1;1;21;21;9;2;10;68;78
174;QL16AT;;base;interview;29.01.15 08:54;3;2;2;1;1;41;36;28;29;34;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Behalter ;Geber;Unschuldig ;Unschlüssig ;Unsinnige ;verdeckt;;;;;;0;13;13;20;4;20;19;39
175;XXF65V;;base;interview;29.01.15 08:55;3;2;6;2;2;28;36;75;20;26;5;1;3;6;4;5;;;;;6;6;2;1;5;4;1;6;6;4;2;6;1;1;4;1;6;6;5;2;2;6;6;3;1;4;6;6;2;2;2;4;5;6;6;4;2;2;4;4;2;1;-9;100;72;5;3;4;"Die Frage nach ""Goots Willen"" ist seltsam. Der Zweck ist klar. Aber geht es Gottes Willen oder um eine vermeintliche Interpretation dessen durch Geistliche? ""Gottes Wille"" stellt ein moralisches Gerüst dar. Paradoxer Weise sind die Religionen in diesem Punkt ziemlich identisch. Der Weg der Unsetzung ist der Zankapfel. Und den geben Geistliche vor.";normal;Ausnahme;desinteressiert;gierig;unbedacht;offen;46;2;2;6;1;1;21;21;6;2;10;4;14
177;KEBOIH;;base;interview;29.01.15 08:58;7;;;;;16;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Egoist;;;;;offen;;;;;;0;7;7;0;0;0;3;3
179;JEVQMN;;base;interview;29.01.15 09:12;2;7;6;5;4;43;91;90;17;27;8;0;0;8;5;;;;;;7;7;7;1;7;6;2;6;6;6;4;6;3;3;4;2;5;6;6;5;4;5;5;6;3;3;5;6;4;4;3;5;5;6;6;2;2;6;6;6;4;2;5;85;82;5;3;3;;egoistisch;großzügig;gerecht;nicht ehrlich;unehrlich;offen;30;1;1;3;1;1;21;21;8;1;8;25;33
181;ZBTDAQ;;base;interview;29.01.15 09:14;5;3;4;3;1;48;49;24;2;84;7;3;5;10;0;;;;;;7;4;2;1;5;2;2;3;3;6;5;2;1;2;5;1;6;6;5;1;5;6;6;3;2;3;6;5;4;4;2;6;6;6;3;1;1;3;2;5;2;1;2;70;69;6;3;2;;Dominant;Zurückhaltend;Unentschlossen;hinterlistig; bescheiden;offen;52;1;2;-9;1;1;21;21;9;2;10;1;11
182;KH42LK;;base;interview;29.01.15 09:15;7;4;3;3;2;77;28;7;36;8;5;10;10;10;10;;;;;;4;4;2;5;5;2;4;5;5;5;5;5;2;2;4;1;4;5;5;2;2;5;5;5;5;4;4;6;6;5;5;6;6;6;4;1;1;6;1;4;4;3;-9;75;1;6;3;5;;Entscheider;Gambler;Nichtentscheider;Zögerer;Sozialer;verdeckt;55;2;2;-9;1;1;21;21;10;3;16;6;23
185;UFUJ34;;base;interview;29.01.15 09:22;6;6;2;2;2;37;89;54;38;64;3;1;1;3;1;5;;;;;6;6;2;1;5;3;2;3;4;4;5;4;1;3;4;1;5;-9;6;2;2;5;5;4;4;2;3;5;3;5;2;4;4;5;4;2;3;5;2;3;3;1;2;50;62;3;3;3;;gierig;sozial;unentschlossen;unentschlossen;unentschlossen;verdeckt;26;1;1;1;1;1;21;21;8;3;14;9;23
187;M8JYU7;;base;interview;29.01.15 09:28;4;6;4;3;4;52;101;100;3;22;5;10;10;0;2;;;;;;6;7;4;1;4;4;1;1;2;4;4;5;1;4;5;1;6;6;6;4;4;6;6;6;5;1;4;6;2;5;4;6;5;6;5;1;2;4;4;6;5;4;2;75;100;6;3;7;;Clever;Sozial;Zocker;Wackelpudding;Wankelsozi;verdeckt;52;2;2;-9;1;1;21;21;9;2;10;37;47
190;SH8IYM;;base;interview;29.01.15 09:35;7;4;2;3;2;53;51;76;14;7;5;5;2;7;7;;;;;;7;5;3;1;5;6;1;5;5;6;5;4;1;1;1;1;5;5;5;3;3;6;5;5;2;5;5;5;2;5;2;6;5;6;2;1;1;6;6;4;2;1;5;100;65;6;3;3;;Vorteil;Helfer;Schicksal;Scham;Scham 2;offen;52;1;2;-9;1;1;21;21;9;2;10;11;21
191;36DCGF;;base;interview;29.01.15 09:38;7;5;5;4;4;101;101;30;12;3;0;0;1;2;2;;;;;;7;4;4;1;6;4;1;7;7;4;6;2;2;2;5;1;6;4;2;2;6;6;6;4;4;1;4;4;6;4;5;6;6;5;4;1;5;6;4;1;3;1;7;100;48;7;3;4;Ch habe mich gefühlt, wie in den 70ziger Jahren bei der Gewissensprüfung für angehende Zivildienstleistende!;klar;sozi;spieler;hase;hund;verdeckt;55;1;2;-9;1;1;21;21;8;2;8;7;15
192;CRWIRN;;base;interview;29.01.15 09:45;4;2;5;2;2;78;67;70;23;30;3;1;3;6;5;2;;;;6;6;4;2;2;2;2;3;1;2;3;5;3;5;5;6;1;5;6;6;2;5;6;5;5;5;1;4;5;5;6;5;4;6;5;6;2;4;6;5;5;2;1;-9;100;-1;3;3;2;;klar;souverän;normal;unklar;dito;offen;59;1;2;-9;1;1;21;21;9;4;20;16;36
193;5ZT1AG;;base;interview;29.01.15 09:46;7;4;4;7;2;39;75;51;20;98;8;2;5;10;0;;;;;;7;5;2;2;4;4;3;5;3;5;5;2;1;1;4;1;6;5;3;2;3;6;4;4;3;2;5;6;3;3;2;6;6;5;4;1;1;4;2;3;4;1;3;90;82;7;2;3;Die einleitenden Erklärungen sind etwas schwer zu verstehen, aber die nachfolgenden Fragen dann nicht so schwer;Nehmer;Geber;Spieler;Egoist;Freund;offen;62;1;2;-9;1;1;21;21;8;2;8;0;9
194;EK0SF4;;base;interview;29.01.15 09:49;2;2;5;3;2;6;96;101;23;67;10;1;1;5;2;;;;;;7;7;4;1;4;5;1;5;4;7;6;6;1;1;5;1;6;6;4;2;6;6;6;2;2;1;5;6;2;2;5;6;3;6;3;4;2;6;4;6;2;1;2;60;71;4;3;3;;gierig;selbstlos;gerecht;unentschlossen ;unentschlossen freigiebig;verdeckt;37;1;2;-9;1;1;21;21;9;2;10;28;38
196;4PJW8S;;base;interview;29.01.15 09:57;2;2;5;6;2;39;101;100;2;71;2;0;0;8;2;4;0;0;8;2;7;6;5;1;5;5;1;6;5;7;5;6;1;2;4;1;6;6;4;2;2;6;-9;4;3;4;5;5;3;-9;1;6;5;6;5;1;1;6;5;4;4;2;7;20;53;5;2;3;;offenen Egoisten;offener Altruist;schicksalhaft solidarisch;heuchlerischen Egoisten;unentschiedenen Altruist;offen;39;2;2;3;1;1;21;21;4;3;16;11;28
199;EBFFHU;;base;interview;29.01.15 10:09;7;2;5;4;2;22;99;55;43;85;8;0;4;6;1;9;;;7;;7;7;3;1;4;5;2;5;5;7;5;3;1;4;2;1;5;6;5;1;2;4;5;3;3;1;4;5;4;4;2;4;5;5;3;2;1;6;5;5;3;1;4;80;62;5;3;3;;Egoist;Altruist;Unentschlossener;unentschlossener Egoist;unentschlossener Altruist;verdeckt;26;1;1;4;1;1;21;21;5;1;5;32;37
202;DCN8Y4;;base;interview;29.01.15 10:19;7;4;2;3;3;50;59;18;13;21;5;3;7;6;3;;;;;;7;4;4;1;3;5;6;6;3;5;6;4;3;3;4;2;4;4;4;2;5;5;6;2;3;1;4;5;5;3;4;5;5;6;3;2;4;6;2;3;4;2;5;100;97;3;3;5;Die Fragen die Würfel betreffend erschließen sich mir nicht. ;egoist;uneigennützig;spieler;egoist;uneigennützig;verdeckt;72;2;2;-9;1;1;21;21;8;2;8;0;8
203;LA6G9R;;base;interview;29.01.15 10:22;6;;;;;74;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;verdeckt;;;;;;0;7;7;25;25;132;239;371
205;2PN5M7;;base;interview;29.01.15 10:33;7;5;5;7;4;45;82;84;15;58;4;2;2;5;2;;;;;;7;6;2;1;5;2;2;6;5;7;5;5;2;3;3;1;5;5;4;2;3;6;6;5;2;6;2;5;3;5;3;6;6;5;4;1;3;6;3;5;2;3;-9;85;-1;3;3;1;;Selbst ;Andere;Zufall ;Angeblicher Zufall;Angeblicher Zufall 2;offen;28;1;1;2;1;1;21;21;10;4;20;5;25
206;RH2LRL;;base;interview;29.01.15 10:33;6;2;2;3;2;61;75;38;39;55;8;1;5;6;2;9;;4;;;6;5;1;1;7;3;2;4;6;4;4;5;1;4;2;1;5;6;4;1;2;6;6;4;4;1;4;6;5;5;3;6;6;5;3;1;2;6;2;3;2;1;3;20;78;5;3;3;;vorteilsuchend;kollegial;unentschieden;teils unentschlossen;unsicher;verdeckt;25;1;1;3;1;1;21;21;5;1;5;9;15
207;XZ8EAQ;;base;interview;29.01.15 10:35;6;2;4;2;1;48;25;71;18;15;5;5;5;5;5;;;;;;6;5;3;2;5;5;3;5;5;5;5;6;4;5;3;2;5;6;5;3;4;6;6;5;5;2;5;5;5;4;4;6;6;6;4;3;2;3;2;4;5;2;5;99;-1;6;3;1;;Gewinner;Verlierer;Gerechter;unentschlossenen Gewinner;unentschlossenen Verliere;verdeckt;62;2;2;-9;1;1;21;21;10;3;16;11;27
208;SCQ4AY;;base;interview;29.01.15 10:37;4;2;4;5;3;30;77;77;16;84;5;3;4;7;3;;;;;;7;4;1;1;4;3;1;5;5;7;4;6;4;5;5;1;5;6;6;4;3;5;5;4;3;2;4;6;2;6;6;6;6;5;4;1;3;-9;5;6;1;4;4;30;-9;4;3;4;;geizig;großzügig;fair;unfair;gütig;offen;24;1;1;4;1;1;21;21;10;4;21;40;61
210;5MO3NR;;base;interview;29.01.15 10:39;6;3;3;3;3;23;78;50;39;67;8;0;4;6;1;8;0;4;6;1;6;6;1;1;6;6;2;1;1;6;5;5;1;1;5;1;6;5;3;1;4;6;6;2;3;1;5;6;4;2;3;5;2;6;2;1;1;5;5;4;1;1;1;15;52;4;2;3;Ich hätte zwischendurch gerne zurückgeblättert und meine früheren Eingaben korrigiert.;Direktentscheider;Altruist;Entscheidungsschwacher;Zögerer;zögernder Altruist;verdeckt;52;1;2;-9;1;1;21;21;1;0;2;0;2
211;33KNEE;;base;interview;29.01.15 10:48;7;3;3;2;2;53;58;72;38;73;6;2;3;7;2;;;;;;5;4;1;1;3;3;2;4;5;5;5;4;2;4;4;1;5;5;5;4;4;6;5;4;5;1;6;5;4;6;2;5;6;4;5;1;1;6;1;4;4;1;-9;80;54;5;3;2;Man bekommt manchmal das Gefühl für deine persönliche Einstellung verurteilt zu werden. Nachdem dieses Gefühl aufkommt ist man eher geneigt gemäß der sozialen erwünschtheit zu antworten.;wirtschaftlich;irrational;unentschlossen;sprunghaft;bedacht;verdeckt;25;1;1;4;1;1;21;21;8;2;12;0;12
212;3P4ZDN;;base;interview;29.01.15 10:51;7;4;2;2;2;52;82;24;16;65;6;2;3;4;3;5;1;;5;2;6;5;1;1;2;1;2;1;1;5;6;6;2;2;4;1;6;6;4;2;3;5;6;2;2;1;5;4;2;4;2;6;6;5;3;1;3;5;3;2;4;1;2;80;46;5;3;3;"manche Fragen waren wirklich interessant, die ""moralisch-verzwickten"". Generell war es zu viel zu lesen, das Bearbeiten hat, besonders am Anfang, wo man sich wirklich konzentrieren musste, um den Versuchsablauf zu verstehen, nicht sehr viel Spaß gemacht";eigennützig;uneigennützig;entscheidungsunfreudig;unüberlegt;zögernd;offen;25;1;1;4;1;1;21;21;1;0;1;11;12
214;VSS3UR;;base;interview;29.01.15 10:53;5;4;4;2;2;27;100;54;24;72;5;0;2;5;1;7;;;;;7;7;4;1;5;5;1;4;4;7;6;5;4;5;5;2;6;6;5;3;4;6;5;5;5;3;6;5;5;6;4;6;6;5;4;3;4;4;4;3;3;2;4;100;68;7;3;1;;an-sich-selbst-Denker;Sozialdenker;Nullentscheider;Nullentscheider-an-sich-s;Nullentscheider-Sozialtyp;offen;44;1;2;-9;1;1;21;21;8;2;9;4;13
215;2X90KA;;base;interview;29.01.15 10:54;7;6;2;2;1;62;46;49;44;45;5;5;5;5;5;;;;;;7;2;2;1;2;2;4;1;1;2;4;4;1;1;2;2;5;4;1;1;1;5;4;1;1;1;4;4;1;1;1;5;3;2;1;1;1;6;1;5;1;1;-9;99;91;6;3;3;;selbstsicher;nachdenklich;unsicher;neugierig;verunsichert;verdeckt;29;1;2;-9;1;1;21;21;10;3;16;12;28
216;5HLPHF;;base;interview;29.01.15 11:04;7;2;2;4;2;72;65;49;55;38;7;7;9;6;8;;;;7;6;7;7;2;1;4;4;1;3;2;7;5;4;1;4;3;1;5;5;6;2;3;6;6;5;2;1;5;4;4;5;3;6;4;5;4;2;2;6;4;2;3;1;2;80;60;5;3;1;;eigennützig;zurückhaltend;entscheidungsscheu;berechnend;unentschlossen;offen;24;1;1;3;1;1;21;21;5;1;5;27;32
218;YKUB7E;;base;interview;29.01.15 11:13;7;2;3;3;2;64;60;84;13;53;0;0;0;3;0;;;;;;5;4;4;2;5;4;3;4;4;5;5;5;1;2;4;1;6;6;6;5;5;6;6;3;3;2;5;5;2;2;2;6;2;6;4;1;1;2;4;5;2;1;2;30;-1;4;3;3;;Pragmatiker;Selbstlosen;Spieler;Täuscher1;Täuscher2;offen;43;1;2;-9;1;1;21;21;10;3;16;11;28
219;Q2VYYK;;base;interview;29.01.15 11:35;5;3;6;;;66;51;27;;;3;5;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Entscheider;Zauderer;Glücksritter;;;offen;;;;;;0;9;9;0;0;0;26;26
221;O9ZUQ0;;base;interview;29.01.15 11:44;5;3;4;2;3;19;101;71;6;62;10;1;3;10;2;9;;;;;7;5;2;1;2;4;2;3;2;5;3;4;1;3;5;2;4;6;4;3;5;6;5;4;5;2;5;6;4;4;3;6;6;5;2;2;2;5;6;3;2;3;3;30;84;5;3;7;"Bei den Bewertungsmöglichkeiten ist ein kleiner Tippfehler aufgetreten. Wenn man mit dem Mouse-Zeiger über die einzelnen Punkte fährt, ist in manchen Fällen das Wort ""wichtig"" falsch geschrieben.";Egoist;Altruisten;Pragmatiker;Opportunist ;Zauderer;verdeckt;36;2;2;-9;1;1;21;21;6;1;7;16;23
222;E35F0Q;;base;interview;29.01.15 11:48;6;3;5;4;1;30;34;18;3;1;8;8;6;10;10;10;10;10;10;10;7;7;6;1;7;5;4;5;2;7;5;4;2;2;2;4;4;4;5;5;4;6;6;6;4;2;6;6;6;6;4;6;6;6;4;1;1;6;2;6;5;1;-9;98;66;7;3;1;;Egoist;Opfertyp;Duckmäuser;Kopftypen;Angsttypen;offen;63;1;2;-9;1;1;21;21;4;2;10;6;17
224;8MOA0H;;base;interview;29.01.15 11:48;5;4;5;2;2;33;75;48;1;68;2;0;1;5;0;;;;;;7;6;4;1;5;3;2;5;4;5;4;6;2;5;1;1;6;6;6;3;2;6;6;4;3;1;5;6;2;5;1;6;3;6;3;1;2;6;2;5;2;1;2;50;100;6;3;5;;Egoist;Großzügig;Wk-Mensch;Wk-Ego;Wk-Großzügig;offen;21;1;1;1;1;1;21;21;8;1;8;11;19
226;2YRZG4;;base;interview;29.01.15 11:52;7;2;3;2;2;95;101;99;69;88;3;1;2;4;4;;;;;;7;6;4;1;3;3;2;2;2;7;6;6;3;4;4;1;6;6;6;4;4;6;6;4;5;2;4;5;4;5;3;6;6;5;2;3;3;6;4;5;2;1;1;75;-1;7;3;3;;eigennützig selbstbezogen;selbstlos ;unentschlossen;unentschlossen;unentschlossen ;verdeckt;21;1;1;1;1;1;21;21;9;3;14;41;54
227;PFXZAS;;base;interview;29.01.15 11:52;3;2;3;5;3;52;101;72;24;58;0;0;0;6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rational und fair;selbstlos;fair;hinterlistig;seltsam;verdeckt;;;;;;0;12;12;0;0;0;179;179
228;1SG1RX;;base;interview;29.01.15 11:57;6;2;2;2;2;75;52;36;14;15;5;4;6;7;7;;;;;;7;6;1;1;4;1;1;4;5;6;6;6;4;4;5;1;6;6;6;1;4;6;5;5;5;1;6;5;5;6;1;6;5;5;5;2;1;3;3;4;3;1;1;20;57;7;3;2;;Sicherheitsmensch;Gönner;Nicht-Entscheider;Rückzieher;komisch;offen;39;1;2;-9;1;1;21;21;9;2;10;16;26
